BLOCKID|PLACEFP
240010001001000|
240010001001001|
240010001001002|
240010001001003|
240010001001004|
240010001001005|
240010001001006|
240010001001007|
240010001001008|
240010001001009|
240010001001010|
240010001001011|
240010001001012|
240010001001013|
240010001001014|
240010001001015|
240010001001016|
240010001001017|
240010001001018|
240010001001019|
240010001001020|
240010001001021|
240010001001022|
240010001001023|
240010001001024|
240010001001025|
240010001001026|
240010001001027|
240010001001028|
240010001001029|
240010001001030|
240010001001031|
240010001001032|
240010001001033|
240010001001034|
240010001001035|
240010001001036|
240010001001037|
240010001001038|
240010001001039|
240010001001040|
240010001001041|
240010001001042|
240010001001043|47275
240010001001044|47275
240010001001045|
240010001001046|47275
240010001001047|47275
240010001001048|47275
240010001001049|
240010001001050|
240010001001051|47275
240010001001052|47275
240010001001053|47275
240010001001054|47275
240010001001055|47275
240010001001056|47275
240010001001057|47275
240010001001058|47275
240010001001059|47275
240010001001060|47275
240010001001061|47275
240010001001062|
240010001002000|
240010001002001|
240010001002002|
240010001002003|
240010001002004|
240010001002005|
240010001002006|
240010001002007|
240010001002008|
240010001002009|
240010001002010|
240010001002011|
240010001002012|
240010001002013|
240010001002014|
240010001002015|
240010001002016|
240010001002017|
240010001002018|
240010001002019|28425
240010001002020|28425
240010001002021|
240010001002022|
240010001002023|
240010001002024|
240010001002025|28425
240010001002026|
240010001002027|
240010001002028|
240010001002029|
240010001002030|
240010001002031|
240010001002032|
240010001002033|
240010001002034|
240010001002035|
240010001002036|
240010001002037|
240010001002038|
240010001002039|
240010001002040|
240010001002041|
240010001002042|
240010001002043|
240010001002044|
240010001002045|
240010001002046|
240010001002047|
240010001002048|
240010001002049|
240010001002050|
240010001002051|
240010001002052|
240010001002053|
240010001002054|
240010001002055|
240010001002056|
240010001002057|
240010001002058|
240010001002059|
240010001002060|
240010001002061|
240010001002062|
240010001002063|
240010001002064|
240010001002065|
240010001002066|
240010001002067|
240010001002068|
240010001002069|
240010001002070|
240010001002071|
240010001002072|
240010001002073|
240010001002074|
240010001002075|
240010001002076|
240010001002077|
240010001002078|
240010001002079|
240010001002080|
240010001002081|
240010001002082|28425
240010001002083|28425
240010001002084|
240010001002085|
240010001002086|
240010001002087|
240010001002088|
240010001002089|
240010001002090|
240010001002091|
240010001002092|
240010001002093|
240010001002094|
240010001002095|
240010001003000|
240010001003001|
240010001003002|
240010001003003|
240010001003004|
240010001003005|
240010001003006|
240010001003007|
240010001003008|
240010001003009|
240010001003010|
240010001003011|
240010001003012|
240010001003013|
240010001003014|58775
240010001003015|
240010001003016|
240010001003017|
240010001003018|
240010001003019|
240010001003020|
240010001003021|
240010001003022|
240010001003023|
240010001003024|
240010001003025|
240010001003026|
240010001003027|58775
240010001003028|58775
240010001003029|
240010001003030|58775
240010001003031|
240010001003032|
240010001003033|
240010001003034|
240010001003035|
240010001003036|
240010001003037|
240010001003038|
240010001003039|
240010001003040|
240010001003041|
240010001003042|
240010001003043|
240010001003044|
240010001003045|58775
240010001003046|58775
240010001003047|
240010001003048|
240010001003049|
240010001003050|
240010001003051|
240010001003052|
240010001003053|
240010001003054|
240010001003055|
240010001003056|
240010001003057|
240010001003058|58775
240010001003059|58775
240010001003060|
240010001003061|
240010001003062|
240010001003063|
240010001003064|
240010002001000|
240010002001001|
240010002001002|
240010002001003|
240010002001004|
240010002001005|
240010002001006|
240010002001007|
