BLOCKID|DISTRICT
240010001001000|00030
240010001001001|00030
240010001001002|00030
240010001001003|00030
240010001001004|00030
240010001001005|00030
240010001001006|00030
240010001001007|00030
240010001001008|00030
240010001001009|00030
240010001001010|00030
240010001001011|00030
240010001001012|00030
240010001001013|00030
240010001001014|00030
240010001001015|00030
240010001001016|00030
240010001001017|00030
240010001001018|00030
240010001001019|00030
240010001001020|00030
240010001001021|00030
240010001001022|00030
240010001001023|00030
240010001001024|00030
240010001001025|00030
240010001001026|00030
240010001001027|00030
240010001001028|00030
240010001001029|00030
240010001001030|00030
240010001001031|00030
240010001001032|00030
240010001001033|00030
240010001001034|00030
240010001001035|00030
240010001001036|00030
240010001001037|00030
240010001001038|00030
240010001001039|00030
240010001001040|00030
240010001001041|00030
240010001001042|00030
240010001001043|00030
240010001001044|00030
240010001001045|00030
240010001001046|00030
240010001001047|00030
240010001001048|00030
240010001001049|00030
240010001001050|00030
240010001001051|00030
240010001001052|00030
240010001001053|00030
240010001001054|00030
240010001001055|00030
240010001001056|00030
240010001001057|00030
240010001001058|00030
240010001001059|00030
240010001001060|00030
240010001001061|00030
240010001001062|00030
240010001002000|00030
240010001002001|00030
240010001002002|00030
240010001002003|00030
240010001002004|00030
240010001002005|00030
240010001002006|00030
240010001002007|00030
240010001002008|00030
240010001002009|00030
240010001002010|00030
240010001002011|00030
240010001002012|00030
240010001002013|00030
240010001002014|00030
240010001002015|00030
240010001002016|00030
240010001002017|00030
240010001002018|00030
240010001002019|00030
240010001002020|00030
240010001002021|00030
240010001002022|00030
240010001002023|00030
240010001002024|00030
240010001002025|00030
240010001002026|00030
240010001002027|00030
240010001002028|00030
240010001002029|00030
240010001002030|00030
240010001002031|00030
240010001002032|00030
240010001002033|00030
240010001002034|00030
240010001002035|00030
240010001002036|00030
240010001002037|00030
240010001002038|00030
240010001002039|00030
240010001002040|00030
240010001002041|00030
240010001002042|00030
240010001002043|00030
240010001002044|00030
240010001002045|00030
240010001002046|00030
240010001002047|00030
240010001002048|00030
240010001002049|00030
240010001002050|00030
240010001002051|00030
240010001002052|00030
240010001002053|00030
240010001002054|00030
240010001002055|00030
240010001002056|00030
240010001002057|00030
240010001002058|00030
240010001002059|00030
240010001002060|00030
240010001002061|00030
240010001002062|00030
240010001002063|00030
240010001002064|00030
240010001002065|00030
240010001002066|00030
240010001002067|00030
240010001002068|00030
240010001002069|00030
240010001002070|00030
240010001002071|00030
240010001002072|00030
240010001002073|00030
240010001002074|00030
240010001002075|00030
240010001002076|00030
240010001002077|00030
240010001002078|00030
240010001002079|00030
240010001002080|00030
240010001002081|00030
240010001002082|00030
240010001002083|00030
240010001002084|00030
240010001002085|00030
240010001002086|00030
240010001002087|00030
240010001002088|00030
240010001002089|00030
240010001002090|00030
240010001002091|00030
240010001002092|00030
240010001002093|00030
240010001002094|00030
240010001002095|00030
240010001003000|00030
240010001003001|00030
240010001003002|00030
240010001003003|00030
240010001003004|00030
240010001003005|00030
240010001003006|00030
240010001003007|00030
240010001003008|00030
240010001003009|00030
240010001003010|00030
240010001003011|00030
240010001003012|00030
240010001003013|00030
240010001003014|00030
240010001003015|00030
240010001003016|00030
240010001003017|00030
240010001003018|00030
240010001003019|00030
240010001003020|00030
240010001003021|00030
240010001003022|00030
240010001003023|00030
240010001003024|00030
240010001003025|00030
240010001003026|00030
240010001003027|00030
240010001003028|00030
240010001003029|00030
240010001003030|00030
240010001003031|00030
240010001003032|00030
240010001003033|00030
240010001003034|00030
240010001003035|00030
240010001003036|00030
240010001003037|00030
240010001003038|00030
240010001003039|00030
240010001003040|00030
240010001003041|00030
240010001003042|00030
240010001003043|00030
240010001003044|00030
240010001003045|00030
240010001003046|00030
240010001003047|00030
240010001003048|00030
240010001003049|00030
240010001003050|00030
240010001003051|00030
240010001003052|00030
240010001003053|00030
240010001003054|00030
240010001003055|00030
240010001003056|00030
240010001003057|00030
240010001003058|00030
240010001003059|00030
240010001003060|00030
240010001003061|00030
240010001003062|00030
240010001003063|00030
240010001003064|00030
240010002001000|00030
240010002001001|00030
240010002001002|00030
240010002001003|00030
240010002001004|00030
240010002001005|00030
240010002001006|00030
240010002001007|00030
240010002001008|00030
240010002001009|00030
240010002001010|00030
240010002001011|00030
240010002001012|00030
240010002001013|00030
240010002001014|00030
240010002001015|00030
240010002001016|00030
240010002001017|00030
240010002001018|00030
240010002001019|00030
240010002001020|00030
240010002001021|00030
240010002001022|00030
240010002001023|00030
240010002001024|00030
