BLOCKID|DISTRICT
240010001001000|01C
240010001001001|01C
240010001001002|01C
240010001001003|01C
240010001001004|01C
240010001001005|01C
240010001001006|01C
240010001001007|01C
240010001001008|01C
240010001001009|01C
240010001001010|01C
240010001001011|01C
240010001001012|01C
240010001001013|01C
240010001001014|01C
240010001001015|01C
240010001001016|01C
240010001001017|01C
240010001001018|01C
240010001001019|01C
240010001001020|01C
240010001001021|01C
240010001001022|01C
240010001001023|01C
240010001001024|01C
240010001001025|01C
240010001001026|01C
240010001001027|01C
240010001001028|01C
240010001001029|01C
240010001001030|01C
240010001001031|01C
240010001001032|01C
240010001001033|01C
240010001001034|01C
240010001001035|01C
240010001001036|01C
240010001001037|01C
240010001001038|01C
240010001001039|01C
240010001001040|01C
240010001001041|01C
240010001001042|01C
240010001001043|01C
240010001001044|01C
240010001001045|01C
240010001001046|01C
240010001001047|01C
240010001001048|01C
240010001001049|01C
240010001001050|01C
240010001001051|01C
240010001001052|01C
240010001001053|01C
240010001001054|01C
240010001001055|01C
240010001001056|01C
240010001001057|01C
240010001001058|01C
240010001001059|01C
240010001001060|01C
240010001001061|01C
240010001001062|01C
240010001002000|01C
240010001002001|01C
240010001002002|01C
240010001002003|01C
240010001002004|01C
240010001002005|01C
240010001002006|01B
240010001002007|01B
240010001002008|01B
240010001002009|01C
240010001002010|01C
240010001002011|01C
240010001002012|01C
240010001002013|01C
240010001002014|01C
240010001002015|01C
240010001002016|01C
240010001002017|01C
240010001002018|01C
240010001002019|01B
240010001002020|01C
240010001002021|01B
240010001002022|01B
240010001002023|01B
240010001002024|01C
240010001002025|01B
240010001002026|01B
240010001002027|01B
240010001002028|01B
240010001002029|01B
240010001002030|01B
240010001002031|01B
240010001002032|01C
240010001002033|01C
240010001002034|01C
240010001002035|01C
240010001002036|01C
240010001002037|01B
240010001002038|01B
240010001002039|01C
240010001002040|01C
240010001002041|01C
240010001002042|01C
240010001002043|01C
240010001002044|01C
240010001002045|01C
240010001002046|01C
240010001002047|01C
240010001002048|01C
240010001002049|01C
240010001002050|01C
240010001002051|01C
240010001002052|01C
240010001002053|01C
240010001002054|01C
240010001002055|01C
240010001002056|01C
240010001002057|01C
240010001002058|01C
240010001002059|01C
240010001002060|01B
240010001002061|01C
240010001002062|01B
240010001002063|01C
240010001002064|01C
240010001002065|01C
240010001002066|01C
240010001002067|01C
240010001002068|01C
240010001002069|01C
240010001002070|01C
240010001002071|01C
240010001002072|01C
240010001002073|01C
240010001002074|01C
240010001002075|01C
240010001002076|01C
240010001002077|01C
240010001002078|01C
240010001002079|01C
240010001002080|01B
240010001002081|01B
240010001002082|01C
240010001002083|01C
240010001002084|01C
240010001002085|01C
240010001002086|01C
240010001002087|01C
240010001002088|01C
240010001002089|01C
240010001002090|01C
240010001002091|01C
240010001002092|01C
240010001002093|01C
240010001002094|01C
240010001002095|01C
240010001003000|01C
240010001003001|01C
240010001003002|01C
240010001003003|01C
240010001003004|01C
240010001003005|01C
240010001003006|01C
240010001003007|01C
240010001003008|01C
240010001003009|01C
240010001003010|01C
240010001003011|01C
240010001003012|01C
240010001003013|01C
240010001003014|01C
240010001003015|01C
240010001003016|01C
240010001003017|01C
240010001003018|01C
240010001003019|01C
240010001003020|01C
240010001003021|01C
240010001003022|01C
240010001003023|01C
240010001003024|01C
240010001003025|01C
240010001003026|01C
240010001003027|01C
240010001003028|01C
240010001003029|01C
240010001003030|01C
240010001003031|01C
240010001003032|01C
240010001003033|01C
240010001003034|01C
240010001003035|01C
240010001003036|01C
240010001003037|01C
240010001003038|01C
240010001003039|01C
240010001003040|01C
240010001003041|01C
240010001003042|01C
240010001003043|01C
240010001003044|01C
240010001003045|01C
240010001003046|01C
240010001003047|01C
240010001003048|01C
240010001003049|01C
240010001003050|01C
240010001003051|01C
240010001003052|01C
240010001003053|01C
240010001003054|01C
240010001003055|01C
240010001003056|01C
240010001003057|01C
240010001003058|01C
240010001003059|01C
240010001003060|01C
240010001003061|01C
240010001003062|01C
240010001003063|01C
240010001003064|01C
240010002001000|01C
240010002001001|01C
240010002001002|01C
240010002001003|01C
240010002001004|01C
240010002001005|01C
240010002001006|01C
240010002001007|01C
240010002001008|01C
240010002001009|01C
240010002001010|01C
240010002001011|01C
240010002001012|01C
240010002001013|01C
240010002001014|01C
240010002001015|01C
240010002001016|01C
240010002001017|01C
240010002001018|01C
240010002001019|01C
240010002001020|01C
240010002001021|01C
240010002001022|01C
240010002001023|01C
240010002001024|01C
240010002001025|01C
240010002001026|01C
240010002001027|01C
240010002001028|01C
240010002001029|01C
240010002001030|01C
240010002001031|01C
240010002001032|01C
240010002001033|01C
240010002001034|01C
240010002001035|01C
240010002001036|01C
240010002002000|01B
240010002002001|01B
240010002002002|01B
240010002002003|01B
240010002002004|01B
240010002002005|01B
240010002002006|01B
240010002002007|01B
240010002002008|01B
240010002002009|01B
240010002002010|01B
240010002002011|01B
240010002002012|01B
240010002002013|01B
240010002002014|01B
240010002002015|01B
240010002002016|01B
240010002002017|01B
240010002002018|01B
240010002002019|01B
240010002002020|01B
240010002002021|01B
240010002002022|01B
240010002002023|01B
240010002002024|01B
240010002002025|01B
240010002002026|01B
240010002002027|01B
240010002002028|01B
240010002002029|01B
240010002002030|01B
240010002002031|01B
240010002002032|01B
240010002002033|01B
240010002002034|01B
240010002002035|01B
240010002002036|01B
240010002002037|01B
240010002002038|01B
240010002003000|01C
240010002003001|01C
240010002003002|01C
240010002003003|01C
240010002003004|01C
240010002003005|01C
240010002003006|01C
240010002003007|01C
240010002003008|01C
240010002003009|01C
240010002003010|01C
240010002003011|01C
240010002003012|01C
240010002003013|01C
240010002003014|01C
240010002003015|01C
240010002003016|01C
240010002003017|01C
240010002003018|01C
240010002003019|01C
240010002003020|01C
240010002003021|01C
240010002003022|01C
240010002003023|01C
240010002003024|01C
240010002003025|01C
240010002003026|01C
240010002003027|01C
240010002003028|01C
240010002003029|01C
240010002003030|01C
240010002003031|01C
240010002003032|01C
240010002003033|01C
240010002003034|01C
240010002003035|01C
240010002003036|01C
240010005001000|01C
240010005001001|01C
240010005001002|01C
240010005001003|01C
240010005001004|01C
240010005001005|01C
240010005001006|01C
240010005001007|01C
240010005001008|01C
240010005001009|01C
240010005001010|01C
240010005001011|01C
240010005001012|01C
240010005001013|01C
240010005001014|01C
240010005001015|01C
240010005001016|01C
240010005001017|01C
240010005001018|01C
240010005001019|01C
240010005001020|01C
240010005001021|01C
240010005001022|01C
240010005001023|01C
240010005001024|01C
240010005001025|01C
240010005001026|01C
240010005001027|01C
240010005001028|01C
240010005001029|01C
240010005001030|01C
240010005001031|01C
240010005001032|01C
240010005001033|01C
240010005001034|01C
240010005001035|01C
240010005001036|01C
240010005001037|01C
240010005001038|01C
240010005001039|01C
240010005001040|01C
240010005001041|01C
240010005002000|01B
240010005002001|01B
240010005002002|01C
240010005002003|01C
240010005002004|01C
240010005002005|01C
240010005002006|01C
240010005002007|01C
240010005002008|01C
240010005002009|01C
240010005002010|01C
240010005002011|01C
240010005002012|01C
240010005002013|01C
240010005002014|01C
240010005002015|01C
240010005002016|01C
240010005002017|01C
240010005002018|01C
240010005002019|01C
240010005002020|01C
240010005002021|01C
240010005002022|01C
240010005002023|01C
240010005002024|01C
240010005002025|01C
240010005002026|01C
240010005002027|01C
240010005002028|01C
240010005002029|01C
240010005002030|01C
240010005002031|01C
240010005002032|01C
240010005002033|01C
240010006001000|01C
240010006001001|01C
240010006001002|01C
240010006001003|01C
240010006001004|01C
240010006001005|01C
240010006001006|01C
240010006001007|01C
240010006001008|01C
240010006001009|01C
240010006001010|01C
240010006001011|01C
240010006001012|01C
240010006001013|01C
240010006001014|01C
240010006001015|01C
240010006001016|01C
240010006001017|01C
240010006001018|01C
240010006001019|01C
240010006001020|01C
240010006001021|01C
240010006001022|01C
240010006001023|01C
240010006001024|01C
240010006001025|01C
240010006001026|01C
240010006001027|01C
240010006001028|01C
240010006001029|01C
240010006001030|01C
240010006001031|01C
240010006001032|01C
240010006001033|01C
240010006001034|01C
240010006001035|01C
240010006001036|01C
240010006001037|01C
240010006001038|01C
240010006001039|01C
240010006001040|01C
240010006001041|01C
240010006001042|01C
240010006001043|01C
240010006001044|01C
240010006001045|01C
240010006001046|01C
240010006001047|01C
240010006001048|01C
