BLOCKID|COUNTYFP|DISTRICT
240010001001000|001|01-000
240010001001001|001|01-000
240010001001002|001|01-000
240010001001003|001|01-000
240010001001004|001|01-000
240010001001005|001|01-000
240010001001006|001|01-000
240010001001007|001|01-000
240010001001008|001|01-000
240010001001009|001|01-000
240010001001010|001|01-000
240010001001011|001|01-000
240010001001012|001|01-000
240010001001013|001|01-000
240010001001014|001|01-000
240010001001015|001|01-000
240010001001016|001|01-000
240010001001017|001|01-000
240010001001018|001|01-000
240010001001019|001|01-000
240010001001020|001|01-000
240010001001021|001|01-000
240010001001022|001|01-000
240010001001023|001|01-000
240010001001024|001|01-000
240010001001025|001|01-000
240010001001026|001|01-000
240010001001027|001|01-000
240010001001028|001|01-000
240010001001029|001|01-000
240010001001030|001|01-000
240010001001031|001|01-000
240010001001032|001|01-000
240010001001033|001|01-000
240010001001034|001|01-000
240010001001035|001|01-000
240010001001036|001|01-000
240010001001037|001|01-000
240010001001038|001|01-000
240010001001039|001|01-000
240010001001040|001|01-000
240010001001041|001|01-000
240010001001042|001|01-000
240010001001043|001|01-000
240010001001044|001|01-000
240010001001045|001|01-000
240010001001046|001|01-000
240010001001047|001|01-000
240010001001048|001|01-000
240010001001049|001|01-000
240010001001050|001|01-000
240010001001051|001|01-000
240010001001052|001|01-000
240010001001053|001|01-000
240010001001054|001|01-000
240010001001055|001|01-000
240010001001056|001|01-000
240010001001057|001|01-000
240010001001058|001|01-000
240010001001059|001|01-000
240010001001060|001|01-000
240010001001061|001|01-000
240010001001062|001|01-000
240010001002000|001|03-000
240010001002001|001|03-000
240010001002002|001|03-000
240010001002003|001|03-000
240010001002004|001|03-000
240010001002005|001|03-000
240010001002006|001|21-000
240010001002007|001|21-000
240010001002008|001|21-000
240010001002009|001|03-000
240010001002010|001|03-000
240010001002011|001|03-000
240010001002012|001|03-000
240010001002013|001|03-000
240010001002014|001|03-000
240010001002015|001|03-000
240010001002016|001|03-000
240010001002017|001|03-000
240010001002018|001|03-000
240010001002019|001|21-000
240010001002020|001|03-000
240010001002021|001|21-000
240010001002022|001|21-000
240010001002023|001|21-000
240010001002024|001|03-000
240010001002025|001|21-000
240010001002026|001|21-000
240010001002027|001|21-000
240010001002028|001|21-000
240010001002029|001|21-000
240010001002030|001|21-000
240010001002031|001|21-000
240010001002032|001|03-000
240010001002033|001|03-000
240010001002034|001|03-000
240010001002035|001|03-000
240010001002036|001|03-000
240010001002037|001|21-000
240010001002038|001|21-000
240010001002039|001|03-000
240010001002040|001|03-000
240010001002041|001|03-000
240010001002042|001|03-000
240010001002043|001|03-000
240010001002044|001|03-000
240010001002045|001|03-000
240010001002046|001|03-000
240010001002047|001|03-000
240010001002048|001|03-000
240010001002049|001|03-000
240010001002050|001|03-000
240010001002051|001|03-000
240010001002052|001|03-000
240010001002053|001|03-000
240010001002054|001|03-000
240010001002055|001|03-000
240010001002056|001|03-000
240010001002057|001|03-000
240010001002058|001|03-000
